route_id,route_short_name,route_long_name,route_desc,route_type,route_url
1-251,1,,,3,
1-256,1,,,3,
2-251,2,,,3,
2-256,2,,,3,
4-251,4,,,3,
4-256,4,,,3,
5-251,5,,,3,
5-256,5,,,3,
6-251,6,,,3,
6-256,6,,,3,
7-251,7,,,3,
7-256,7,,,3,
8-251,8,,,3,
8-256,8,,,3,
9-251,9,,,3,
9-256,9,,,3,
12-251,12,,,3,
12-256,12,,,3,
14-251,14,,,3,
14-256,14,,,3,
16-251,16,,,3,
16-256,16,,,3,
18-251,18,,,3,
18-256,18,,,3,
19-256,19,,,3,
20-251,20,,,3,
21-251,21,,,3,
22-251,22,,,3,
22-256,22,,,3,
24-251,24,,,3,
27-251,27,,,3,
30-251,30,,,3,
30-256,30,,,3,
31-251,31,,,3,
33-256,33,,,3,
34-251,34,,,3,
34-256,34,,,3,
35-251,35,,,3,
37-251,37,,,3,
38-251,38,,,3,
38-256,38,,,3,
40-251,40,,,3,
41-251,41,,,3,
41-256,41,,,3,
43-251,43,,,3,
60-251,60,,,3,
61-251,61,,,3,
62-251,62,,,3,
63-256,63,,,3,
64-251,64,,,3,
64-256,64,,,3,
65-251,65,,,3,
66-251,66,,,3,
67-251,67,,,3,
68-251,68,,,3,
69-251,69,,,3,
70-251,70,,,3,
71-251,71,,,3,
72-251,72,,,3,
73-251,73,,,3,
77-251,77,,,3,
85-251,85,,,3,
85-256,85,,,3,
86-251,86,,,3,
86-256,86,,,3,
87-251,87,,,3,
87-256,87,,,3,
91-251,91,,,3,
91-256,91,,,3,
92-251,92,,,3,
92-256,92,,,3,
93-251,93,,,3,
94-251,94,,,3,
94-256,94,,,3,
95-251,95,,,3,
95-256,95,,,3,
96-251,96,,,3,
96-256,96,,,3,
97-251,97,,,3,
97-256,97,,,3,
98-251,98,,,3,
98-256,98,,,3,
99-251,99,,,3,
99-256,99,,,3,
101-251,101,,,3,
101-256,101,,,3,
103-251,103,,,3,
103-256,103,,,3,
104-251,104,,,3,
104-256,104,,,3,
105-251,105,,,3,
105-256,105,,,3,
106-251,106,,,3,
106-256,106,,,3,
111-251,111,,,3,
111-256,111,,,3,
112-251,112,,,3,
112-256,112,,,3,
114-251,114,,,3,
114-256,114,,,3,
116-251,116,,,3,
116-256,116,,,3,
118-251,118,,,3,
118-256,118,,,3,
120-251,120,,,3,
121-251,121,,,3,
121-256,121,,,3,
122-251,122,,,3,
122-256,122,,,3,
123-251,123,,,3,
123-256,123,,,3,
124-251,124,,,3,
124-256,124,,,3,
126-251,126,,,3,
126-256,126,,,3,
128-251,128,,,3,
128-256,128,,,3,
129-251,129,,,3,
129-256,129,,,3,
130-251,130,,,3,
131-251,131,,,3,
131-256,131,,,3,
132-251,132,,,3,
132-256,132,,,3,
134-251,134,,,3,
134-256,134,,,3,
